# GeoID, y_pred, y_predprob
1,0,0.04561
2,1,0.68774
3,0,0.00209
4,0,0.15531
5,0,0.00250
6,1,0.88980
7,0,0.00580
8,0,0.00761
9,0,0.06713
10,0,0.00025
11,0,0.00018
12,0,0.05161
13,1,0.96775
14,1,0.96864
15,0,0.06516
16,0,0.00532
17,0,0.06329
18,0,0.09793
19,0,0.04138
20,0,0.41086
21,0,0.00022
22,0,0.09866
23,0,0.00236
24,0,0.02025
25,0,0.00033
26,0,0.00933
27,0,0.36268
28,0,0.00133
29,0,0.00043
30,0,0.00264
31,0,0.48263
32,0,0.06420
33,0,0.00118
34,0,0.00020
35,0,0.02049
36,0,0.01452
37,0,0.00004
38,0,0.01368
39,0,0.26541
40,0,0.28445
41,0,0.00918
42,1,0.57687
43,0,0.07741
44,1,0.57488
45,0,0.13705
46,0,0.00546
47,0,0.48471
48,0,0.08089
49,1,0.71030
50,0,0.00007
51,0,0.00662
52,0,0.34586
53,0,0.04733
54,0,0.26703
55,0,0.02888
56,0,0.00124
57,0,0.02205
58,0,0.00244
59,0,0.07135
60,0,0.00199
61,0,0.00851
62,0,0.00325
63,0,0.07802
64,0,0.12053
65,0,0.00926
66,0,0.00013
67,0,0.03598
68,0,0.00033
69,0,0.31943
70,0,0.00005
71,0,0.00145
72,0,0.00690
73,0,0.00068
74,0,0.17389
75,0,0.00644
76,0,0.01275
77,0,0.00023
78,0,0.00222
79,0,0.00019
80,0,0.00604
81,0,0.43363
82,0,0.05037
83,1,0.71783
84,0,0.10920
85,0,0.00294
86,0,0.00619
87,0,0.01676
88,0,0.00242
89,0,0.00622
90,0,0.01442
91,0,0.00260
92,0,0.02097
93,0,0.00442
94,0,0.49880
95,0,0.00144
96,0,0.12537
97,0,0.10526
98,1,0.64657
99,0,0.06816
100,0,0.01962
101,1,0.55162
102,0,0.08507
103,0,0.00681
104,0,0.04851
105,0,0.00021
106,0,0.01444
107,0,0.01739
108,0,0.37951
109,0,0.00137
110,0,0.00059
111,0,0.01601
112,0,0.01901
113,0,0.04857
114,0,0.00496
115,0,0.46785
116,0,0.02800
117,0,0.17488
118,0,0.02811
119,0,0.00916
120,0,0.00010
121,1,0.83300
122,0,0.00132
123,0,0.03016
124,0,0.00010
125,0,0.01883
126,0,0.00519
127,0,0.03137
128,0,0.00056
129,0,0.00316
130,0,0.06308
131,0,0.00320
132,0,0.00897
133,0,0.02306
134,0,0.08991
135,0,0.00410
136,0,0.01154
137,0,0.03435
138,0,0.01317
139,0,0.03217
140,0,0.08639
141,0,0.03261
142,0,0.00048
143,1,0.63918
144,0,0.00505
145,0,0.00158
146,0,0.06968
147,0,0.17448
148,0,0.04413
149,0,0.00675
150,0,0.00784
151,0,0.09493
152,0,0.25951
153,0,0.01596
154,1,0.50520
155,0,0.00262
156,0,0.01142
157,0,0.42269
158,1,0.53076
159,0,0.00653
160,0,0.00018
161,0,0.47992
162,0,0.08573
163,0,0.15337
164,0,0.00353
165,0,0.03790
166,0,0.09539
167,0,0.08507
168,0,0.01765
169,1,0.73711
170,0,0.06829
171,0,0.00264
172,0,0.20450
173,0,0.08719
174,0,0.00022
175,0,0.01354
176,0,0.21489
177,0,0.01358
178,0,0.00629
179,0,0.00853
180,0,0.11996
181,0,0.19788
182,0,0.00020
183,0,0.11881
184,0,0.21416
185,0,0.07469
186,0,0.04977
187,0,0.00022
188,0,0.08736
189,0,0.00748
190,0,0.00037
191,0,0.00010
192,0,0.00065
