OBJECTID,Elevation,Slope,Aspect,坡高,斜坡形态,地形表面纹理,TRI,地形位置指数,地形表面凸率,地形汇聚指数,相对坡位,平面曲率,剖面曲率,Curvature,River,流域面积,流路长度,地形湿度指数,河谷深度,流域坡度,河流强度指数 ,距河网垂直距离,Lithology,斜坡结构,NDVI,NDWI,Rainfall,Earthquake,NDBI,class
2,155.022472,10.693059,258.7057,14.140395,3.370787,0.628139,3.970493,0.073295,0.382721,-2.008458,0.399696,-0.117115,0.013497,-0.130613,109.692998,8092.653261,392.677211,12.096674,25.674298,0.203771,-9068.547794,126.129794,2,6,0.257606,0.37141,1136.755127,1.973891,-0.395325,1
4,173.493151,10.079554,189.120866,13.052694,4.452055,0.664258,3.692713,-0.233881,0.416877,-0.487843,0.358534,-0.016924,0.059379,-0.076303,97.629874,6419.81433,760.557787,12.398176,14.95579,0.160543,-4053.028189,97.93338,2,3,0.652056,0.266819,1138.024414,2.066306,-0.266517,0
7,261.21671,12.244223,208.257733,17.55609,4.027248,0.61817,4.623799,0.100329,0.433312,0.379583,0.471198,0.009301,-0.002081,0.010117,943.730763,6516.447964,321.53206,11.990808,16.432837,0.192109,6655.989965,134.872057,2,7,0.72347,0.285319,1135.6521,1.913061,-0.289298,0
5,151.095238,11.027202,282.686909,8.56197,4.285714,0.662009,4.181752,-0.572716,0.424831,3.035909,0.803767,0.218372,0.045388,0.172984,89.679583,11422.51361,739.47396,12.687113,77.896384,0.201824,6162.323431,164.692551,2,6,-0.179688,0.514096,1136.90271,1.963562,-0.498494,1
14,231.69403,13.824945,286.192207,58.803428,4.090226,0.536022,5.335293,0.286144,0.488855,0.452882,0.573269,0.045027,0.017014,0.028013,312.680074,12198.97701,603.340019,12.447099,50.769952,0.241768,8246.471274,122.087994,2,6,0.37659,0.167392,1137.321533,1.989146,-0.135747,1
13,222.505176,21.634637,142.377901,50.271046,4.440171,0.472987,8.439257,1.031795,0.450358,1.379873,0.453867,0.047273,-0.002617,0.04989,172.452067,6805.408594,537.152814,11.780363,43.298269,0.353137,5377.925745,147.273968,2,7,0.604097,0.210448,1137.246094,1.997441,-0.215529,1
17,314.343958,13.650859,236.385178,26.347497,4.099602,0.627736,5.199869,-0.063859,0.466022,-0.222941,0.498839,0.000471,0.009477,-0.005789,1779.587692,8333.057296,411.350513,11.651229,31.713216,0.232048,8277.837682,103.690908,2,7,0.715786,0.297188,1135.745239,1.916955,-0.294783,0
15,144.378378,7.348471,114.66944,8.073132,3.108108,0.737147,2.85885,-0.516435,0.430642,-3.276954,0.562931,-0.017714,0.10992,-0.127634,58.299903,7207.373918,219.877872,10.666628,34.67944,0.119553,-8332.038399,190.086893,2,5,-0.366777,0.694114,1137.365967,1.958498,-0.669032,1
23,359.943662,18.04485,133.242543,26.066532,3.873239,0.601587,6.935823,-0.314327,0.423922,-1.794522,0.507401,0.022876,0.078475,-0.055599,2425.236579,9596.42314,400.880166,11.417197,30.537727,0.299846,16100.28475,110.520475,2,7,0.764621,0.297546,1136.157471,1.925083,-0.298089,0
18,211.692308,20.17134,171.661458,44.812998,4.087413,0.532799,7.918092,0.65876,0.459867,0.532171,0.458651,0.010889,-0.067861,0.07875,157.378719,5934.306345,345.331169,11.955118,35.460628,0.300109,-2251.369422,84.62148,2,3,0.681955,0.265888,1138.546265,2.052333,-0.265496,1
20,240.254386,22.694629,126.894523,68.392908,4.561404,0.486884,9.007096,2.510669,0.485583,2.38313,0.390734,0.100132,-0.123989,0.224121,117.064507,4852.77102,253.453178,11.806364,36.350559,0.351784,6873.002018,84.354785,2,3,0.726888,0.266418,1138.645996,1.997194,-0.265925,1
